ResponseId,LanguageHaveWorkedWith
140,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
141,Bash/Shell (all shells);Dart;JavaScript;Python;SQL
142,C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
143,C;C++;Java
144,Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript
145,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)
146,Bash/Shell (all shells);Dart;Python;Swift
147,HTML/CSS;SQL;VBA
148,Go;Java;JavaScript;Kotlin;PHP;Python;SQL
149,C#;HTML/CSS;JavaScript;SQL;TypeScript
150,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
151,C#;HTML/CSS;JavaScript;SQL;TypeScript
152,NA
153,C#;HTML/CSS;Python;SQL
154,Python;TypeScript
155,C;C++;JavaScript;Lua;Python;Rust;SQL;TypeScript
156,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
157,HTML/CSS;JavaScript;PHP;SQL;TypeScript
158,C#;HTML/CSS;JavaScript;SQL
159,HTML/CSS;JavaScript;SQL;TypeScript
160,C;C#;C++;HTML/CSS;JavaScript;TypeScript
161,Go;Rust;Zig
162,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;SQL;TypeScript
163,Lua;Python;TypeScript
164,Java;TypeScript
165,Java
166,C#;HTML/CSS;JavaScript;SQL;TypeScript
167,C;C#;C++;Haskell;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net)
168,HTML/CSS;JavaScript;Kotlin;Lua;MATLAB;PowerShell;Python;SQL;TypeScript
169,Assembly;C;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL
170,Python
171,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript
172,Bash/Shell (all shells);C#;Go;PowerShell;Python;SQL
173,HTML/CSS;JavaScript;PHP;TypeScript
174,HTML/CSS;JavaScript
175,Assembly;Bash/Shell (all shells);C;Dart;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Prolog;Python;SQL;TypeScript
176,C#;Go;Groovy;HTML/CSS;Java;JavaScript;SQL
177,C#;JavaScript;SQL;TypeScript
178,Assembly;C;C++;PowerShell;Python;SQL
179,Bash/Shell (all shells);C#;Clojure;Lisp;Lua;Prolog;Python
180,Assembly;Bash/Shell (all shells);C;Go;Haskell;OCaml;Python;Rust;SQL;TypeScript
181,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Prolog;Python;R;SQL;TypeScript
182,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL
183,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)
184,Bash/Shell (all shells);C;Clojure;Dart;Lua
185,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript
186,HTML/CSS;JavaScript;PHP;SQL;TypeScript
187,JavaScript;Python;SQL
188,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript
189,Go;HTML/CSS;JavaScript;SQL;TypeScript
190,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net)
191,C#
192,Go;HTML/CSS;Java;JavaScript;PowerShell;SQL
193,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
194,Kotlin;Swift
195,C;C++;Python
196,Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript
197,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;R;SQL
198,Assembly;Bash/Shell (all shells);C;C#;C++;Python;Rust
199,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;SQL
200,HTML/CSS;Java;JavaScript;SQL
201,Python
202,C++;Java;JavaScript;Python;TypeScript;VBA
203,HTML/CSS;Java;JavaScript;PHP
204,Assembly;Bash/Shell (all shells);C;Haskell;HTML/CSS;JavaScript;OCaml;Python;Rust;Scala;SQL;TypeScript
205,C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net)
206,R;SQL;VBA
207,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;TypeScript
208,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
209,JavaScript;PHP;Python;Rust
210,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Python;SQL;VBA;Visual Basic (.Net)
211,Bash/Shell (all shells);JavaScript;Python;Rust
212,JavaScript;PHP;SQL
213,C;C++;PowerShell;Python;SQL
214,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
215,C#;Go;JavaScript;PowerShell;TypeScript
216,C#;C++;F#;JavaScript;PowerShell;SQL;TypeScript
217,HTML/CSS;JavaScript
218,C#;HTML/CSS;JavaScript;SQL;TypeScript
219,C#;F#
220,C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net)
221,C;C++;Java;Kotlin;MATLAB;SQL
222,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript
223,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL
224,Bash/Shell (all shells);Java;SQL
225,Swift
226,Bash/Shell (all shells);Go;HTML/CSS;Rust;TypeScript
227,C#;HTML/CSS
228,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL
229,Assembly;Bash/Shell (all shells);C;C#;C++;Lua;Python;Rust
230,HTML/CSS;JavaScript;Ruby;SQL;TypeScript
231,Bash/Shell (all shells);C;C++;HTML/CSS;PowerShell;Python;SQL
232,Python;R
233,C;C++;Groovy;Java;Julia;MATLAB;Python;SQL
234,Dart;JavaScript
235,Bash/Shell (all shells);C;C++;Dart;Go;HTML/CSS;Java;JavaScript;SQL;TypeScript
236,Delphi
237,C++;Java;Python
238,C#;HTML/CSS;JavaScript;SQL;TypeScript
239,HTML/CSS;JavaScript;Ruby;SQL
240,C;C++;Dart;HTML/CSS;Java;PHP;Python;SQL
241,HTML/CSS;JavaScript;PHP
242,JavaScript;PHP;SQL
243,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
244,Java;JavaScript;SQL
245,C;C++;Python;Rust
246,C#;Ruby
247,Assembly;Bash/Shell (all shells);C;Java;MicroPython;PHP;Rust
248,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript
249,C#;Java;JavaScript;Python;SQL
250,Bash/Shell (all shells);C++;Python
251,C++;Go;Java;JavaScript;Kotlin;Objective-C;Python;SQL;Swift
252,Bash/Shell (all shells);C;C++;MATLAB;Python;Rust;TypeScript
253,Bash/Shell (all shells);Go;Java;JavaScript;Python;TypeScript
254,Assembly;C;C#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;SQL;TypeScript;Visual Basic (.Net)
255,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PHP;R;Rust;SQL;TypeScript
256,Bash/Shell (all shells);Java;Python;SQL
257,Bash/Shell (all shells);C#;C++;Java;JavaScript;PHP;Python;SQL;TypeScript
258,C#;C++;Go;Lua;Python
259,NA
260,Objective-C;Swift
261,JavaScript;Python;SQL;TypeScript
262,HTML/CSS;JavaScript;TypeScript
263,C;C#;Dart;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript
264,HTML/CSS;JavaScript;Ruby;SQL
265,Bash/Shell (all shells);Elixir;Go;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript
266,C;C#;Python
267,C#;Go;JavaScript;PHP;SQL
268,NA
269,HTML/CSS;JavaScript;Lisp;Python;SQL
270,C#;C++;HTML/CSS;JavaScript;Python;VBA;Visual Basic (.Net)
271,Go;Rust;SQL;TypeScript
272,Groovy;Java;JavaScript;MATLAB;Python
273,JavaScript;SQL;TypeScript
274,C#;C++;Java;Lua;PowerShell;Python;SQL
275,JavaScript;Python;SQL;TypeScript
276,C#;JavaScript;PowerShell;SQL;TypeScript
277,Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Scala
278,C;C#;C++;GDScript;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL
279,HTML/CSS;Java;JavaScript;Kotlin;TypeScript
280,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL
281,C#;HTML/CSS;JavaScript;PHP;Python;SQL
282,HTML/CSS;Java;JavaScript
283,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Lua;Python;Rust;TypeScript
284,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;TypeScript
285,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript
286,Go;JavaScript
287,Groovy;Java;Kotlin;PowerShell
288,Go;Rust
289,Bash/Shell (all shells);C;C++;Cobol;Delphi;Go;Java;JavaScript;Lua;Perl;PHP;Python;SQL
290,Bash/Shell (all shells);C#;Java;JavaScript;Python;Swift
291,C;C++;Objective-C;PHP;Python;Ruby;Swift;TypeScript
292,Go;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
293,Bash/Shell (all shells)
294,JavaScript
295,HTML/CSS;JavaScript;PHP
296,C;HTML/CSS;Java;JavaScript;MATLAB;Python
297,Dart;JavaScript;Python
298,C++
299,Java;Python
300,C#;HTML/CSS;JavaScript;PHP;Python;SQL
301,C;Go;Ruby
302,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Objective-C;PHP;Ruby;SQL;Zig
303,HTML/CSS;JavaScript;Python;SQL;TypeScript
304,Bash/Shell (all shells);Go;Groovy;Java
305,Assembly;Bash/Shell (all shells);C;C++
306,Bash/Shell (all shells);Java;JavaScript
307,Bash/Shell (all shells);Haskell;Java;Python;R;SQL
308,Bash/Shell (all shells);Python
309,Bash/Shell (all shells);Objective-C;Perl;Swift
310,Bash/Shell (all shells);C;C++;Java;Objective-C;Python
311,Go;JavaScript;Lua;PHP;SQL
312,HTML/CSS;Java;JavaScript;Python;SQL
313,Bash/Shell (all shells);C++;JavaScript;Python;SQL
314,HTML/CSS;JavaScript;SQL;TypeScript
315,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript
316,C;C++
317,HTML/CSS;JavaScript;PHP;SQL
318,Go;JavaScript;Python;TypeScript
319,HTML/CSS;Java;TypeScript
320,Java;JavaScript;Rust;Scala;TypeScript
321,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Lua;Nim;Python;Rust;TypeScript
322,JavaScript;Python;SQL
323,HTML/CSS;JavaScript;SQL;TypeScript
324,Go;HTML/CSS;JavaScript;TypeScript
325,HTML/CSS;JavaScript;PHP;SQL;TypeScript
326,Elixir;HTML/CSS;JavaScript;PHP
327,Apex;Java;JavaScript;SQL
328,Bash/Shell (all shells);C#;Java;Python;SQL
329,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PowerShell;Python;TypeScript
330,C++;HTML/CSS;JavaScript;TypeScript
331,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Rust;SQL;TypeScript
332,C++;Java;MATLAB;Python
333,C#;Delphi;Go;SQL
334,C;C++
335,Bash/Shell (all shells);C;C++;Go;Lua;Python;SQL
336,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL
337,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL
338,Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;PowerShell;SQL
339,HTML/CSS;JavaScript;Python;TypeScript
340,C;C++;Python;Rust
341,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
342,Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;Perl;PowerShell;Python;Ruby;Rust;SQL;TypeScript
343,Dart
344,SQL;VBA
345,C#;Java;Python;Scala;SQL
346,Java;Lua;Python;Rust;SQL
347,C#;Java;JavaScript;Python;SQL
348,Java;SQL
349,C;C++;Dart;Go;Haskell;Lua;Zig
350,Bash/Shell (all shells);Go;Python;SQL
351,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL
352,JavaScript;Solidity;TypeScript
353,C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net)
354,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Objective-C;Python;Swift
355,Bash/Shell (all shells);Groovy;Java;JavaScript;Python;SQL;TypeScript
356,C#;HTML/CSS;JavaScript;Lua;Python
357,C;C#;C++;Dart;HTML/CSS;JavaScript;Lua;MATLAB;PowerShell;Python;TypeScript
358,C;C++;HTML/CSS;Java;JavaScript;Perl;PHP;Python;R;Ruby;SQL
359,C++;HTML/CSS;JavaScript;PHP
360,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;PowerShell;Python;Ruby;SQL;Swift;TypeScript;VBA;Visual Basic (.Net)
361,Bash/Shell (all shells);C++
362,C++;Java;MicroPython;Python;Rust;TypeScript
363,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL
364,Bash/Shell (all shells);C#;JavaScript;Scala
365,HTML/CSS;JavaScript;SQL
366,C;C#;C++;Dart;Fortran;Go;HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;PowerShell;Python;Ruby;Rust;SQL;Swift;Visual Basic (.Net)
367,HTML/CSS;JavaScript;PHP;TypeScript
368,HTML/CSS;JavaScript;PHP;SQL
369,HTML/CSS;Java;JavaScript;TypeScript
370,Objective-C;Python;Swift
371,Go;HTML/CSS;JavaScript;TypeScript
372,HTML/CSS;Java;JavaScript
373,C#;Kotlin;Swift;TypeScript
374,HTML/CSS;JavaScript;TypeScript
375,C;C++;Fortran;MATLAB;Python;SQL
376,C;C++;HTML/CSS;Java;JavaScript;Python
377,HTML/CSS;Java;JavaScript;SQL;TypeScript
378,C#;JavaScript;Ruby
379,C++;Delphi;SQL
380,JavaScript;Julia;Python;SQL;TypeScript
381,HTML/CSS;JavaScript;Ruby
382,Bash/Shell (all shells);HTML/CSS;Perl;SQL;TypeScript
383,Groovy;Java;Kotlin;SQL
384,Assembly;Swift;VBA
385,C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
386,Python
387,Go;Java;Python;SQL;TypeScript
388,C#;HTML/CSS;Java;JavaScript;VBA
389,HTML/CSS;JavaScript;Lua;TypeScript
390,HTML/CSS;JavaScript;Python;SQL;TypeScript
391,HTML/CSS;JavaScript;Ruby;TypeScript
392,Bash/Shell (all shells);Groovy;PowerShell;SQL
393,C#;HTML/CSS;Java;JavaScript;MicroPython;Python;TypeScript
394,C;C#;C++;HTML/CSS;Java;SQL;VBA
395,JavaScript;TypeScript
396,Bash/Shell (all shells);Go;HTML/CSS;Java;Kotlin;Python;Ruby;SQL
397,Bash/Shell (all shells);C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;Prolog;Python;SQL
398,C;Java;JavaScript;PowerShell;Python
399,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
400,Assembly;C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL
401,C++;HTML/CSS;JavaScript;TypeScript
402,Java
403,Delphi;SQL
404,Bash/Shell (all shells);C;Python
405,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP
406,Bash/Shell (all shells);C#;Cobol;HTML/CSS;JavaScript;Perl;Python;SQL;VBA;Visual Basic (.Net)
407,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
408,Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Rust;Scala;SQL;TypeScript
409,Bash/Shell (all shells);C;C++;Python
410,HTML/CSS;Python;SQL
411,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Perl;Prolog;Python;R;TypeScript
412,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Delphi;HTML/CSS;Java;JavaScript;MATLAB;Perl;PHP;PowerShell;Python;SQL;VBA;Visual Basic (.Net)
413,Bash/Shell (all shells);C;GDScript;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript
414,HTML/CSS;Java;JavaScript;Kotlin
415,Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript
416,Java;JavaScript;Python
417,Bash/Shell (all shells);Elixir;JavaScript;TypeScript
418,C++;Rust
419,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
420,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
421,Go;Java;Prolog;Python
422,HTML/CSS;JavaScript;PHP
423,Dart;Java;Kotlin;Swift
424,Bash/Shell (all shells);C#;Dart;JavaScript;Python;Rust;TypeScript
425,Delphi
426,HTML/CSS;JavaScript;TypeScript
427,C++;Rust
428,HTML/CSS;Java;JavaScript;SQL
429,Bash/Shell (all shells);Go;Python;Rust
430,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript
431,HTML/CSS;JavaScript;PHP
432,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;SQL
433,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript
434,C#;HTML/CSS;JavaScript
435,C++;Elixir;Python;TypeScript
436,C;Rust
437,Go;HTML/CSS
438,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL;TypeScript
439,C++;HTML/CSS;JavaScript;Lisp;PowerShell;Python
440,HTML/CSS;JavaScript;Python
441,C#;HTML/CSS;JavaScript
442,C;Clojure;Java;Julia;Kotlin;OCaml;Python;R;Rust;Scala;SQL
443,C#;HTML/CSS;Java;JavaScript;Python
444,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript
445,HTML/CSS;Java;JavaScript;Kotlin;SQL
446,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python
447,Go;Groovy;HTML/CSS;JavaScript;Python;SQL;TypeScript
448,Apex;C#;JavaScript;Python;SQL
449,HTML/CSS;Java;JavaScript;TypeScript
450,Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;SQL;Swift;TypeScript
451,C;GDScript;HTML/CSS;JavaScript;PHP;Python
452,C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
453,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net)
454,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL
455,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL
456,Bash/Shell (all shells);JavaScript;PHP;PowerShell;SQL;TypeScript
457,Bash/Shell (all shells);C;C++;Go
458,Java;SQL;TypeScript
459,C;HTML/CSS;JavaScript;Python
460,C#;HTML/CSS;JavaScript;PowerShell;TypeScript
461,Ruby;Swift
462,C#;C++;F#;Rust
463,C;JavaScript;MicroPython;Python;SQL
